工具名,分类,用途说明(中文),英文说明
tavo_app_version,系统状态,读取 Tavo 对外展示的版本号字符串。,Read the public Tavo app version string.
tavo_app_version_number,系统状态,读取 Tavo 的数值构建号（build number）。,Read the numeric Tavo app build number.
tavo_status,系统状态,返回 Tavo MCP 服务器状态及各类数据仓库资产数量（角色/世界书/对话等计数）。,Return Tavo MCP server status and data-library asset counts.
tavo_file_delete,文件存储,从对话/全局作用域删除文件。,Delete a file from chat-scoped or global Tavo storage.
tavo_file_exists,文件存储,检查某文件在对话/全局作用域中是否存在。,Check whether a file exists in chat-scoped or global Tavo storage.
tavo_file_list,文件存储,列出对话/全局作用域中的文件元数据（分页）。,List paginated file metadata from chat-scoped or global Tavo storage.
tavo_file_load,文件存储,从对话作用域或全局作用域读取文件内容。,Load file content from chat-scoped or global Tavo storage.
tavo_file_save,文件存储,在当前对话作用域或全局作用域中保存文件内容。,Save file content in chat-scoped or global Tavo storage.
tavo_character_create,角色,新建一个角色资产。,Create a Tavo character from CCv3-compatible character data or a full CCv2/CCv3/SillyTavern card.
tavo_character_delete,角色,删除一个角色资产。,"Write a Tavo data-library asset. Supports dryRun, expectedRevision, and clientRequestId."
tavo_character_get,角色,按 id 读取单个角色资产（更新前先读取以保留未知字段）。,Read one Tavo asset by id. Call this before updating so unknown fields can be preserved.
tavo_character_import_card,角色,导入完整 CCv2/CCv3 或 SillyTavern 角色卡，及卡片内嵌的世界书/正则数据。,Import a full CCv2/CCv3 or SillyTavern-compatible character card and its embedded lorebook or regex data.
tavo_character_search,角色,按名称搜索角色资产（未知 id 时先调用它定位）。,Search Tavo assets by name. Use this before get/update when the id is unknown.
tavo_character_update,角色,更新一个角色资产（建议先 get 以保留未修改字段）。,Update a Tavo character with CCv3-compatible fields. Read it first to preserve fields not being changed.
tavo_lorebook_create,世界书,新建一个世界书资产。,Create a lorebook from CCv3 Lorebook data or SillyTavern World Info JSON.
tavo_lorebook_delete,世界书,删除一个世界书资产。,"Write a Tavo data-library asset. Supports dryRun, expectedRevision, and clientRequestId."
tavo_lorebook_entry_delete,世界书,删除世界书中的单条 entry。,"Write a Tavo data-library asset. Supports dryRun, expectedRevision, and clientRequestId."
tavo_lorebook_entry_upsert,世界书,新增或替换单条世界书 entry（兼容 CCv3/SillyTavern 形态）。,"Create or replace one lorebook entry in Tavo, CCv3, or SillyTavern shape."
tavo_lorebook_get,世界书,按 id 读取单个世界书资产（更新前先读取以保留未知字段）。,Read one Tavo asset by id. Call this before updating so unknown fields can be preserved.
tavo_lorebook_import,世界书,从外部格式导入世界书（如 CCv3/SillyTavern 等）。,"Import a bare CCv3 Lorebook, standalone lorebook_v3 JSON, or SillyTavern World Info JSON."
tavo_lorebook_search,世界书,按名称搜索世界书资产（未知 id 时先调用它定位）。,Search Tavo assets by name. Use this before get/update when the id is unknown.
tavo_lorebook_update,世界书,更新一个世界书资产（建议先 get 以保留未修改字段）。,Update a lorebook using CCv3 Lorebook or SillyTavern World Info fields.
tavo_regex_create,正则脚本,新建一个正则脚本资产。,"Write a Tavo data-library asset. Supports dryRun, expectedRevision, and clientRequestId."
tavo_regex_delete,正则脚本,删除一个正则脚本资产。,"Write a Tavo data-library asset. Supports dryRun, expectedRevision, and clientRequestId."
tavo_regex_entry_delete,正则脚本,删除单条正则脚本 entry。,"Write a Tavo data-library asset. Supports dryRun, expectedRevision, and clientRequestId."
tavo_regex_entry_upsert,正则脚本,新增或替换单条正则脚本 entry。,"Write a Tavo data-library asset. Supports dryRun, expectedRevision, and clientRequestId."
tavo_regex_get,正则脚本,按 id 读取单个正则脚本资产（更新前先读取以保留未知字段）。,Read one Tavo asset by id. Call this before updating so unknown fields can be preserved.
tavo_regex_import,正则脚本,从外部格式导入正则脚本（如 CCv3/SillyTavern 等）。,"Write a Tavo data-library asset. Supports dryRun, expectedRevision, and clientRequestId."
tavo_regex_search,正则脚本,按名称搜索正则脚本资产（未知 id 时先调用它定位）。,Search Tavo assets by name. Use this before get/update when the id is unknown.
tavo_regex_test,正则脚本,在本地测试正则脚本是否按预期匹配/替换。,"Write a Tavo data-library asset. Supports dryRun, expectedRevision, and clientRequestId."
tavo_regex_update,正则脚本,更新一个正则脚本资产（建议先 get 以保留未修改字段）。,"Write a Tavo data-library asset. Supports dryRun, expectedRevision, and clientRequestId."
tavo_preset_create,生成预设,新建一个生成预设资产。,"Write a Tavo data-library asset. Supports dryRun, expectedRevision, and clientRequestId."
tavo_preset_delete,生成预设,删除一个生成预设资产。,"Write a Tavo data-library asset. Supports dryRun, expectedRevision, and clientRequestId."
tavo_preset_entry_delete,生成预设,删除单条生成预设 entry。,"Write a Tavo data-library asset. Supports dryRun, expectedRevision, and clientRequestId."
tavo_preset_entry_upsert,生成预设,新增或替换单条生成预设 entry。,"Write a Tavo data-library asset. Supports dryRun, expectedRevision, and clientRequestId."
tavo_preset_get,生成预设,按 id 读取单个生成预设资产（更新前先读取以保留未知字段）。,Read one Tavo asset by id. Call this before updating so unknown fields can be preserved.
tavo_preset_import,生成预设,从外部格式导入生成预设（如 CCv3/SillyTavern 等）。,"Write a Tavo data-library asset. Supports dryRun, expectedRevision, and clientRequestId."
tavo_preset_search,生成预设,按名称搜索生成预设资产（未知 id 时先调用它定位）。,Search Tavo assets by name. Use this before get/update when the id is unknown.
tavo_preset_set_active,生成预设,将某个生成预设设为当前激活预设。,"Write a Tavo data-library asset. Supports dryRun, expectedRevision, and clientRequestId."
tavo_preset_update,生成预设,更新一个生成预设资产（建议先 get 以保留未修改字段）。,"Write a Tavo data-library asset. Supports dryRun, expectedRevision, and clientRequestId."
tavo_persona_create,用户人格,新建一个用户人格资产。,"Write a Tavo data-library asset. Supports dryRun, expectedRevision, and clientRequestId."
